review_content,simplified_review
這款氣墊粉餅被我冷凍的半年終於又拿出來用。冬天使用對我來說覺得會有點乾， 夏天來使用剛剛好。雖然是霧面的但不會死霧， 還是會有點光澤感。粉體有淡淡的香味，上臉後就沒聞到了。它的氣墊粉底比較水感，不是濃稠型，按壓時要輕一些， 也因此容易積線所以用量不要太多盡量輕薄。夏天使用它最大的優點是不會黏膩很乾爽。它的防水力還不錯，下午出門大爆汗也沒 有土石流。上妝4個小時以後皮膚變成奶油肌， 妝感看起來更好。但它的遮瑕力並沒有很好大概只有5成。 需要另外用遮瑕產品。,半年終於又拿出來用，使用對我來說覺得會有點乾， 夏天來使用剛剛好。
想找尋一種看起來根本沒上妝的氣墊粉餅剛好看到有部落客介紹這款想說價格也不貴，就買來試試看我也不想用海綿款的那種，容易乾掉這款像粉霜，覺得不會那麼快乾掉就下訂了!!↑按壓了一下才想起來沒拍內裡的樣子↑↑按壓了3.4下才比較有出來↑按壓在臉上很輕透呈現的感覺不像韓式的那種光澤感而是比較偏向霧面款的!而且非常不遮瑕我本身是有點痘疤大概要重複上個3層才遮得住不過我本人就是想要這樣不太厚重的氣墊粉餅所以遮瑕的問題，我個人覺得還好這大概偏向CC霜那種樣子可校正膚色，但不遮瑕心得感想??↑缺點就是按一按會跑出邊邊↑用量少，遮瑕度低，霧面感價格不貴，就想讓氣色好看的可以試試一整天下來也不太脫妝想假裝素顏的話覺得還不錯!,氣墊粉餅剛好看到有部落客介紹這款想說價格也不貴
201808 ELLE雜誌奢華版+兩個彈力保濕絲襪粉餅(01明亮+02自然+02自然補充) $237在7*4單買一塊正品就不只這個價格了看到這麼殺的組合，很難不心動下手買對賺到，買錯了不合用也頂多花了兩百出頭之前在7*4試用時，擦在手上的感覺很保濕水潤有光澤底部標明Made in Korea，跟韓系氣墊粉餅的色階一樣分21、23兩個色號想說韓國製造的，效果應該跟手邊的韓系氣墊粉餅雷同而且淡淡的花香味道我還滿喜愛的連續三天的使用，從一開始的傻眼到今天總算掌握到訣竅第一天只想給3分，3天之後總算慢慢的拉到5分難怪每次拿到美妝體驗品，建議試用期起碼都要3天以上(保養品要更久）其實原本想給6分的但是今天早上鼻翼發現一顆蠢蠢欲動，想要冒出頭的紅痘，所以又扣回1分以下就是連續三天的心得文第一天迫不及待的在公司就開箱拿來補妝使用拍了老半天，臉上完全感受不到這款粉底的存在個人覺得應該MakeUpForever的粉霧持久粉餅的持妝力太強了在原本的妝效依舊完美存在下，拿它來補妝，完全感受不到補妝前後的差異(但都沒掉妝，那我是補個什麼妝?? 人家就是想開箱玩看看嘛? XD)第二天在擦完防曬乳、飾底乳之後使用如果你的肌膚很白皙，這款肯定會讓你有蒙塵感因為，21色號真的不夠白！為了讓大家看到真正的粉底色號重壓三次的粉撲量在臉上，臉上才出現粉底液自認算是白皙的肌膚，但是跟周遭真正白皙的女孩兒一比還是差一大節這款絲襪粉餅拍完之後，我一度懷疑粉撲是不是沒沾到粉底液?!!!因為~~~膚色完全沒改變斑點依舊明顯下圖就是我用完飾底乳之後，再拍完氣墊粉餅有沒有覺得，拍完之後，膚色不僅沒變，還反倒變得比較暗一些我都懷疑我是不是撈錯圖了好吧，粉底太過貼合膚色、輕透完全不遮瑕也沒關係之前在7*4試妝用手指沾取粉底壓在手背上時，感覺粉底很保濕潤澤原本預期至少會像蘭芝、雪花秀等韓系的氣墊粉餅呈現出奶油無暇光澤美肌結果拍了老半天，才發現它竟然是霧面的啞光這是第一次使用到偏霧面的氣墊粉餅有點嚇到，原來還有光澤感不囂張的氣墊粉餅妝前妝後都很一致的妝效，自然到我都懷疑我動手畫過妝了嗎?趕緊拿出腮紅來營造出春天好氣色換句話說，如果你是走清新自然的裸妝風格這一款絕對很對你的味不過，剛開始用真的很不對盤等撐到下午肌膚出油之後，卻讓我嚇到了不僅不會黯沉，連妝感都變成了我想要的奶油肌膚是那種很細緻、不太搶眼的，卻又很無暇美膚的奶油光澤肌不用補妝，妝感真的很美~這是12小時之後，回到家拍的照片再是說明，這不是完妝照，而是12小時未補妝的照片連腮紅都還在（資生堂的修容餅果然好用，給人很淡雅的好氣色，用量省持久度高刷了兩年了還沒什麼凹凹的，但好像沒幫他寫心得XD)第三天使用體認到它的粉體真的很輕透，如果使用量不夠，真的無法呈現出該有的妝感所以這次按壓更多的粉底量停留在臉上之後，再開始拍勻整臉在粉底液量夠多的情況下，妝感果然達到我想要的結果，遮瑕效果比較明顯些加上一點點的腮紅，妝效如下淡淡的光澤感，但沒那麼亮澤結論：臉上有斑點、痘疤等，使用這款氣墊粉餅，妝前遮瑕的步驟馬虎不得拍勻的時後，粉體的量也要很足夠才能製造出無暇的光澤美肌感趕時間想快速完妝的的水水，這款需要時間慢慢雕琢的氣墊粉餅就很不推薦了呼~第200篇心得文在左思右考，想給哪個產品這個難得的里程碑之下總算生出來了下個階段就是250了，加油！,組合，效果應該跟手邊的韓系氣墊粉餅雷同而且淡淡的花香味道我還滿喜愛的連續三天的使用，從一開始的傻眼到今天總算掌握到訣竅第一天只想給3分，3天之後總算慢慢的拉到5分難怪每次拿到美妝體驗品，建議試用期起碼都要3天以上第二天在擦完防曬乳、飾底乳之後使用如果你的肌膚很白皙，這款肯定會讓你有蒙塵感因為，21色號真的不夠白！
"原本都用惹我吸油蜜粉餅因為才3.5g很快就見底了這款4.6g用三個月就有見底而且粉撲經過多次洗滌變得不如以往綿密已不堪使用因為太小甚至比惹我蜜粉還小很難買到新的小粉撲連盒子+粉蕊也太小鏡子也小小到只能照一半的臉(2分之一)只能說它適合《小隻女孩》大隻女孩or手粗還是用粉餅比較好抓粉這款蜜粉餅沒有說很吸油還是要補妝這款應該是〝小隻女孩學生族〞的最愛我既大隻手又粗壯所以決定要跟它""分手""""哈哈～！！◎去買衣服時常被說:「我很高」，所以以後彩妝要買大盒的，或者用筆類。""","小粉撲連盒子+粉蕊也太小鏡子也小小到只能照一半的臉只能說它適合《小隻女孩》大隻女孩or手粗還是用粉餅比較好抓粉這款蜜粉餅沒有說很吸油還是要補妝這款應該是〝小隻女孩學生族〞的最愛我既大隻手又粗壯所以決定要跟它""分手""""哈哈～！！◎去買衣服時常被說:「我很高」，使用因為太小甚至比惹我蜜粉還小很難買到新的小粉撲連盒子+粉蕊也太小鏡子也小小到只能照一半的臉只能說它適合《小隻女孩》大隻女孩or手粗還是用粉餅比較好抓粉這款蜜粉餅沒有說很吸油還是要補妝這款應該是〝小隻女孩學生族〞的最愛我既大隻手又粗壯所以決定要跟它""分手""""哈哈～！！◎去買衣服時常被說:「我很高」，所以以後彩妝要買大盒的，或者用筆類。"
1028 -> 超吸油蜜粉餅1028  超吸油蜜粉餅這款在它還是粉紅色包裝的時候用到現在吸油能力是真的沒話說有膚色跟透明色這款是透明色本來以為會很顯白但其實我覺得不會也或許我追求的就是白 哈哈質地也很細有修飾毛孔的效果最近又出了許多餅粉餅保濕跟控油都有 也出了很多顏色可以來試試,時候用到現在吸油能力是真的沒話說有膚色跟透明色這款是透明色本來以為會很顯白但其實我覺得不會也或許我追求的就是白 哈哈質地也很細有修飾毛孔的效果最近又出了許多餅粉餅保濕跟控油都有 也出了很多顏色可以來試試
以蜜粉來說功能極好，且價格又很親民，像我這種臉很容易出油的就很需要蜜粉，有時候早上就出油了，蠻喜歡這種質地細細的，無味，好用!,以蜜粉來說功能極好，且價格又很親民，像我這種臉很容易出油的就很需要蜜粉，有時候早上就出油了，蠻喜歡這種質地細細的，無味，好用!
"這是從別人那得到的禮物，剛好滿符合自己需求，內部是白色粉餅狀,用力擦拭才會擦出粉,蜜粉定妝 不出油，看到價格真的超便宜的，多撲點不心疼，撲在臉上會微微的的白用了幾次下來我覺得效果算不錯","這是從別人那得到的禮物，剛好滿符合自己需求，內部是白色粉餅狀,用力擦拭才會擦出粉,蜜粉定妝 不出油，看到價格真的超便宜的，多撲點不心疼，撲在臉上會微微的的白用了幾次下來我覺得效果算不錯"
結論：別買！！！除非你夠白（可當打亮）優點：皮膚白可當打亮缺點：１粉質粗糙超級差２百元價位有更好選擇３控油效果普通４閃片顆粒很大５黃皮膚會跟鬼一樣－－－－－－－－－－－－－－－－－－－－－－－－－－－（最高五?，?是再多一點點不到一?程度）粉質細致度??控油（hr.）??整體的妝感??補妝的效果????閃片顆粒太大，膚白（最白類似市面粉餅00號）可當打亮～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～MKUP蜜粉餅中間，右邊是1028（都在蜜粉餅上面輕輕轉１０圈）都是百元開架產品，右邊1028粗的像粉筆灰！！推開後．．．．中間的ＭＫ透明，１０２８超死白（相機會自己修飾，實際看得很誇張，拍鬼片沒問題）,妝感補妝的效果閃片顆粒太大，效果普通４閃片顆粒很大５黃皮膚會跟鬼一樣－－－－－－－－－－－－－－－－－－－－－－－－－－－（最高五?，?是再多一點點不到一?程度）粉質細致度控油（hr.）整體的妝感補妝的效果閃片顆粒太大，膚白（最白類似市面粉餅00號）可當打亮～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～MKUP蜜粉餅中間，右邊是1028（都在蜜粉餅上面輕輕轉１０圈）都是百元開架產品，右邊1028粗的像粉筆灰！
愛美是女人的天性愛花錢是我的本性-什麼都愛嘗鮮 ~ 所以什麼都買 ~ 因為自己是混合偏油所以對黏膩感油膩感非常不能接受龜毛的我 XD ~-1028 - 【Oil Cut!超吸油蜜粉餅(透明)】正品 5g*1-這應該是我買的第一顆蜜粉餅吧就突然有一陣子對這個非常有興趣然後就突然買了好多顆 XD ..想說開架式便宜有特價就買 !不過其實我根本沒什麼再用蜜粉餅化妝的機率比較少保養是每天的化妝可能是每年的 XD ..所以不知道怎麼評比就覺得外型可愛用了沒有不舒服攜帶方便價格可愛大概就是這樣 ..-/謝謝。,愛美是女人的天性愛花錢是我的本性-什麼都愛嘗鮮 ~ 所以什麼都買 ~ 因為自己是混合偏油所以對黏膩感油膩感非常不能接受龜毛的我 XD ~-1028 - 【Oil Cut!超吸油蜜粉餅(透明)】正品 5g*1-這應該是我買的第一顆蜜粉餅吧就突然有一陣子對這個非常有興趣然後就突然買了好多顆 XD ..想說開架式便宜有特價就買 !不過其實我根本沒什麼再用蜜粉餅化妝的機率比較少保養是每天的化妝可能是每年的 XD ..所以不知道怎麼評比就覺得外型可愛用了沒有不舒服攜帶方便價格可愛大概就是這樣 ..-/謝謝。
為了加強保濕粉餅使用後T字部位及眼部的定妝，近期很想找一款不太影響原本粉餅的色澤、又能吸油的蜜粉。這款蜜粉的限定版剛好在屈臣氏推出買一送一的優惠，199元可以買到兩個真是便宜！決定買來嘗試一下～(我買的是粉紅泡泡限定包裝版，內容物應該跟一般版是一樣的，只差在包裝)小小、薄勃的一顆，要攜帶出門的話應該是蠻方便的！（在屈臣氏比較一下一般版的包裝，一般版的容量較大、盒子也比較厚）粉紅泡泡先生特別版只有兩個色號：膚色、透明，一般版的又多了一個紫色。透明款是白色的粉末，推開來之後皮膚感覺只是微微的提亮，沒有修飾效果，這剛好是我想要的～不要讓臉部再多一個修飾，只想單純吸油定妝。我上完visee粉餅後，先用粉刷輕拍一層這個蜜粉餅，等畫完眼妝再撲一層於T字及眼部。一整天吹風、吃拉麵、到處亂跑，白天的時候臉部油光控制得還不錯，有延緩T字發亮的出現，直到晚上才比較明顯的冒油。眼妝定妝效果更好一點，原本以為正中午曝曬流汗＋吃完拉麵就要崩壞了，但白天一切都好好的，沒有變暈變髒。目前只使用過一次，再過一段時間觀察看看～11/3更新定妝後延長妝效，維持眼妝乾淨不糊掉，大油肌或T字部位白天補一下出油處，維持自然妝感，列入回購清單！（雖然買一送一感覺會用蠻久的！）,定妝，效果，這剛好是我想要的～不要讓臉部再多一個修飾，只想單純吸油定妝。，使用後T字部位及眼部的定妝，近期很想找一款不太影響原本粉餅的色澤、又能吸油的蜜粉。
月初到康是美試色之後，回去就到1028的官網購買! 因為康是美價格6百多~官網549覺得價差有點多~~~ 所ˇ以就等官網到貨!當時我在康是美試色，一直無法決定是要02自然還是01明亮!但我考慮到我上完底妝會再上一層打亮以及蜜粉，於是就帶走02自然色~~現在官網下訂，還有送卸妝水~~盒子正面有菱格紋刻紋~ 但我這篇文章沒有放菱格紋的正面照片~~ 大家要到現場摸一摸~背面是長這樣~~made in korea~~~但有個小缺點，送來的時候是一盒一蕊，要扣上去的時候~~ 那個螺絲接合處有點不夠穩固會搖晃~~ 不知道是不是拿到瑕疵品還怎樣~但我蠻愛這款氣墊粉餅的....打開扣上之後~~如下圖~~ 大同小異這樣~~~下圖已經是被我使用過後的痕跡!! ? 告訴大家!! 粉蕊超軟~超好摸~但請勿太過用力.....我有先看過其他人的評價才下手~~沾取粉底時真的要小力一些...不好意思照片有點醜... 上圖表示這款氣墊粉餅的細部網狀照片...來看我的素顏照片上妝之後~~鼻翼泛紅處，我會再拍上第二次! 把粉撲捏成角度比較小的樣子，再拍一次泛紅處!!!但我發現我噴上1028的定妝水之後，等乾了兩頰會顯毛孔....剛拍完之後~~~覺得照片拍起來的感覺好好看~~ 以往使用韓牌色號都不對!! 這款真的好好用~~~超喜歡!!!!,官網購買! 因為康是美價格6百多~官網549覺得價差有點多 所ˇ以就等官網到貨!當時我在康是美試色
"因為我是混合偏油肌，所以對於保濕型的氣墊粉餅一向興致缺缺，手邊只有一塊IOPE的遮瑕款氣墊粉餅，只有在冬天脫皮時才會用，我喜歡IOPE的光澤感，但我一直覺得他遮瑕力頗差，持妝度也不佳，到了下午彷彿被照妖鏡照到一樣，整個打回原形ＸＤ聽說〈1028的輕裸光呼吸粉餅〉遮瑕力很不錯，我也忍不住心動了，火速入手一塊來開箱一番。盒裝裡面很簡單：一塊蕊心，一塊粉盒。把蕊心裝進盒子裡要用點力，聽到""喀""""一聲才算裝好了粉撲Q軟有彈性，我用IOPE慣了，習慣用力壓沾粉底，用1028千萬不要太用力壓！！粉底很滿，很容易就沾上粉撲，我一不小心壓太用力，粉霜都快流出盒外ＸＤＤ先沾在手上試試，右邊輕拍過氣墊粉餅後，左邊則是什麼都沒上。光澤度普普，遮瑕力還滿不錯的喔這塊色號是01明亮膚，但我覺得有點偏黃實際拍在臉上後，覺得還滿容易拍勻的不會很容易局部積粉，延展性相當不錯。拍在臉上的光澤感比拍在手背上明顯一點點，但沒有IOPE那麼光亮。遮瑕力非常好！！平常我的下巴痘疤都需要用到遮瑕膏，用輕裸光呼吸粉餅後只剩淺淺的痕跡，幾乎完全不用再用遮瑕膏了。最後來看看持妝度如何吧~下面這張照片是上妝後5小時拍的，天氣很熱，我有外出大約曬了10分鐘，也吃過午餐所以口紅也掉了ＸＤＤ我最容易脫妝斑駁的部位是鼻翼和法令紋，這邊可以看到已經有一點浮粉了，其他部位則是光澤度比剛上妝時更好浮粉的程度令我覺得有點糗～把IOPE跟1028作個比較吧～遮瑕力：1028 > IOPE光澤感：IOPE > 1028持妝力：1028 > IOPE裸妝感：IOPE > 1028提亮膚色：IOPE > 1028好滴，以上是我的使用報告，有興趣的人還是要自己試用看看喔。－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－以上圖片、內容出自「凱的日本食尚日記」""",氣墊粉餅一向興致缺缺，使用報告，有興趣的人還是要自己試用看看喔。
第一次發有圖文章（羞）為了寫這篇準備好久啊～～～～～！現在氣墊粉餅太夯了！人人都想追求臉上那道光！！但也是為了那道光都不敢上蜜粉，等著脫妝暗沉　囧rz但這個產品終於一掃一般蜜粉沒有光澤感的陰霾~~我是小屈趁77折的時候下手了這款有光澤感的粉餅！來分享它的妝感給大家參考~素顏就是有點暗沉暗沈的～(左)上了EH氣墊粉餅後 已經修飾了整體氣色～(右)這次又偷上了新的修片餅它的粉餅質地和粉撲都QQ的? ? ? ? ?跟一般的粉餅質地不太一樣，不是乾乾粉粉那種擦上去的感覺很有彈力，有點難形容..就是妝很貼膚，很像黏在上面不是浮在上面的~再沾粉餅的時候如果太用力還真的會凹下去喔使用方式就也是輕拍在重點打亮部位鼻頭 、額頭、顴骨附近～上完後整體妝容有感覺更亮了一點上班我都只加上腮紅和一點眉毛 就出門去了～妝感如下明上了定妝蜜粉妝感的光澤度居然跟只上氣墊粉餅差不多！！而且一整天都沒補妝下來晚上看到妝容居然只有點出油，有點奇怪（難道還有外帶控油效果？）其實有超乎我預期的效果除了鼻子附近有些出油小脫妝 我覺得其他的底妝都還蠻完整的！以前僅上氣墊粉餅的時候都被教育不必再擦上粉餅就可持妝不過每次到了下午的時候都會因為出油脫妝＠＿＠比起只擦氣墊粉餅 加上修片餅維持妝容完整性還不錯耶！氣墊粉餅終於找到他的另一半了^_^y而且質地好新奇！整個妝感不會過度厚重 是帶有一點光澤度！以這樣的價格來說其實cp值還蠻高大家可以去小屈瘋狂的試用看看ＸＤ（偷偷說我最喜歡的是她的粉撲 真的好Ｑ彈！）比起我慣用的永和三美人有時候都會掉屑屑這個粉撲真的很討我歡心耶ＸＤ,陰霾我是小屈趁77折的時候下手了這款有光澤感的粉餅！來分享它的妝感給大家參考~素顏就是有點暗沉暗沈的～上了EH氣墊粉餅後 已經修飾了整體氣色～這次又偷上了新的修片餅它的粉餅質地和粉撲都QQ的? ? ? ? ?跟一般的粉餅質地不太一樣，效果？）其實有超乎我預期的效果除了鼻子附近有些出油小脫妝 我覺得其他的底妝都還蠻完整的！
1028的吸油蜜粉相當控油，買過粉膚色也買過白色，可以完美隱形毛孔，定妝能力相當佳，對於敏感肌非常友善，不致粉刺。夏天大概3-4小時後出油需再補妝，如果沒補也不會斑駁，是非常美的奶油肌，從學生時期用到出社會，已回購無數次用掉5盒以上，未來會持續回購。,1028的吸油蜜粉相當控油，買過粉膚色也買過白色，可以完美隱形毛孔，定妝能力相當佳，對於敏感肌非常友善，不致粉刺。夏天大概3-4小時後出油需再補妝，如果沒補也不會斑駁，是非常美的奶油肌，從學生時期用到出社會，已回購無數次用掉5盒以上，未來會持續回購。
膚質：混合偏乾的敏感肌不外乎要先說聲感謝@Cosme和1028讓我抽中空氣定格粉餅，收到時真的超開心的。開箱時很期待也很怕再次受傷害，因為在很久以前用過1028的其他商品有被雷到，不太適合我，但惡次有讓我驚艷到。外包裝一罐的簡潔、乾淨，讓人在打開前有種小清新的感覺。柔霧、控油、保濕、不黯沉是他所標榜的效果。粉撲的部分，一面是海棉，另一面是絨毛，手感還挺不錯的。海綿的部分我用來大面積的打底，絨毛的部分我用在毛孔粗大的地方，因為我不愛厚重妝感，所以只上薄薄一層，遮瑕的程度我覺得普通，畢竟上的薄，但整體妝感不錯，真的有揉霧的感覺！因為沒有另外上蜜粉定妝，下午Ｔ字部位雖然油光明顯，但不至於斑駁或土石流，凌晨卸妝時兩頰也沒有過於乾燥，覺得保濕好像真有那麼一回事，而黯沉的部分我個人覺得還好，不是太明顯。以開架彩妝來說，這款空氣定格粉餅，我覺得值得買來試用看看，還不錯！,敏感肌不外乎要先說聲感謝@Cosme和1028讓我抽中空氣定格粉餅，效果。
色號02 natural beige購入自蝦皮1028官方旗艦店好像是下單禮的樣子保存期限蠻接近的第一次打開第二層的時候，有類似像油還是粉底液的液體滲出來QQ接著第一次使用完的隔天就爆痘了QQ然後粉撲我第一次洗就爆掉了QQ所以放別的品牌的氣墊粉撲上去妝感我記得也是偏薄透、自然有帶光澤的，可能之後拿來擦脖子～應該比較適合乾肌的捧油，或是冬天再給它一次機會（？,樣子保存期限蠻接近的第一次打開第二層的時候
我買的是透明色，印象價錢好像是120-130，因為想在下午出油時補妝用，而且它很小方便攜帶。裡面有鏡子，小蜜粉餅蠻軟的觸感不錯。原本蜜粉餅是全白的，可能是沾到我的底妝有點黃黃，沾粉也是白色。??擦過粉底液的手背??撲上蜜粉的手背吸油力是很好，上上去粉也很透明不會太顯白，不過上圖應該看得出來吸油力好缺點是看起來蠻乾的。補過以後一開始覺得還不錯，過一段時間後又再出油的話就會開始脫妝嚴重，出現白芝麻。它我還是會繼續補妝慢慢用完，但是絕對不會在早上出門前拿來定妝，會太乾，而且出油後容易脫妝、暗沈。說不定是我皮膚狀況比較不能接受，也許油肌朋友可以試試囉！而且很便宜不會太心痛。,我買的是透明色，印象價錢好像是120-130，因為想在下午出油時補妝用，而且它很小方便攜帶。裡面有鏡子，小蜜粉餅蠻軟的觸感不錯。原本蜜粉餅是全白的，可能是沾到我的底妝有點黃黃，沾粉也是白色。??擦過粉底液的手背??撲上蜜粉的手背吸油力是很好，上上去粉也很透明不會太顯白，不過上圖應該看得出來吸油力好缺點是看起來蠻乾的。補過以後一開始覺得還不錯，過一段時間後又再出油的話就會開始脫妝嚴重，出現白芝麻。它我還是會繼續補妝慢慢用完，但是絕對不會在早上出門前拿來定妝，會太乾，而且出油後容易脫妝、暗沈。說不定是我皮膚狀況比較不能接受，也許油肌朋友可以試試囉！而且很便宜不會太心痛。
夏天時在寶雅購入了一顆膚色蜜粉餅。當時在店內試用，覺得粉質很細緻，且以前用過1028的打亮粉餅，所以印象不錯又便宜，索性買來試試看?有附鏡子、蓬蓬的蜜粉撲，整體質感不錯，小小一顆攜帶很方便。我屬於混合肌，臉頰乾乾、T字油。放在辦公室，通常下午左右臉開始出油時使用。吸油效果很好，粉質細緻，鼻翼也不會卡粉，無香味這點也很不錯。但是！一撲上臉，瞬間覺得毛孔與細紋完全被突顯??對於不太習慣補妝的我，是有點雞肋啦。,打亮粉餅，效果很好，粉質細緻，鼻翼也不會卡粉，無香味這點也很不錯。，使用。
1028的產品一直都有一定水準，試用後覺得這塊粉餅蠻好用。雖然容量不大，但是整個盒子做的滿有質感。白色圓形設計有點少女感，粉餅還有一片塑膠膜隔離，還有一個鏡子呢！粉撲十分紮實，抓粉力也算蠻好的。粉質本身非常細膩，帶著細膩的珠光，並不會讓臉看起來很可怕，控油卻也不會使臉部乾燥或是結塊，反而透出自然的好氣色光感，疊擦也不會厚重。今天的妝容是:SKII超輕感全效防曬霜+我愛防護罩飾色隔離乳+Armani極緞絲柔粉底精華+1028超吸油蜜粉餅的清透感。,1028的產品一直都有一定水準，試用後覺得這塊粉餅蠻好用。雖然容量不大，但是整個盒子做的滿有質感。白色圓形設計有點少女感，粉餅還有一片塑膠膜隔離，還有一個鏡子呢！粉撲十分紮實，抓粉力也算蠻好的。粉質本身非常細膩，帶著細膩的珠光，並不會讓臉看起來很可怕，控油卻也不會使臉部乾燥或是結塊，反而透出自然的好氣色光感，疊擦也不會厚重。今天的妝容是:SKII超輕感全效防曬霜+我愛防護罩飾色隔離乳+Armani極緞絲柔粉底精華+1028超吸油蜜粉餅的清透感。
這是在屈臣氏特價買的小小的蜜粉拿起來很輕巧可愛裡面還有小鏡子和小粉撲使用起來沒有味道但裡面有珠光蜜粉主要是拿來定妝臉總是閃閃亮亮的所以擦在臉上不太自然定妝效果也沒有很好到中午整張臉的妝都快掉光了...擦在臉上也感覺有一層薄膜,小小的蜜粉拿起來很輕巧可愛裡面還有小鏡子和小粉撲使用起來沒有味道但裡面有珠光蜜粉主要是拿來定妝臉總是閃閃亮亮的所以擦在臉上不太自然定妝效果也沒有很好到中午整張臉的妝都快掉光了擦在臉上也感覺有一層薄膜
比起可愛的粉色外盒，我更喜歡黑色的質感，時尚範十足，受限於粉盒空間，蜜粉撲也迷你，撲粉時比一般蜜粉多一倍時間，好處是小小一顆蜜粉餅，放化妝包攜帶方便！粉質細緻，粉撲材質普通，開架平易近人的價格不奢求粉撲材質，使用在手背平面視角看不出使用範圍，為了明顯對照「有撲蜜粉」區域，下圖採偏斜視角可看到粉體色系偏白，粉底液用了很潤澤的肌鑰絲緞，在臉部撲上超吸油蜜粉餅半小時後，蜜粉較服貼自然，上妝經過4小時，期間待空調房工作，肌膚並未泛油光，反而有些顯乾燥肌理XDD吸油效果不錯喲！,粉色外盒，效果不錯喲！
原本是粉紅色外殼的，一出黑色包裝的(毫不猶豫)放進購物籃，包裝太美了，黑色有質感多了，●●●●●●裡面有鏡子，粉撲，還有一層保護粉的塑膠片，他修改後的版本放粉撲的凹槽比較深，可是他內附的粉撲材質還是 (那樣)所以我都用自己的粉撲，也因為新款設計的凹槽比較深所以用自己的粉撲蓋子不會蓋不起來。通常我不會把塑膠片丟掉，因為有時候補妝粉撲上面的油質很容易讓蜜粉變質，所以我都會把塑膠片留著，防止影響蜜粉的品質。●●●它的粉質非常細，推開之後就不會那麼白他剛出的時候一塊才不到200元後來覺得蠻快用完的容量有點小 ～補妝的時候輕輕按壓油光就會馬上消失，而且很持久，不會悶熱。加粉紅色包裝的這塊是第三塊1028的蜜粉ㄌ，真的很好用，外出攜帶也很方便。,原本是粉紅色外殼的，一出黑色包裝的(毫不猶豫)放進購物籃，包裝太美了，黑色有質感多了，●●●●●●裡面有鏡子，粉撲，還有一層保護粉的塑膠片，他修改後的版本放粉撲的凹槽比較深，可是他內附的粉撲材質還是 (那樣)所以我都用自己的粉撲，也因為新款設計的凹槽比較深所以用自己的粉撲蓋子不會蓋不起來。通常我不會把塑膠片丟掉，因為有時候補妝粉撲上面的油質很容易讓蜜粉變質，所以我都會把塑膠片留著，防止影響蜜粉的品質。●●●它的粉質非常細，推開之後就不會那麼白他剛出的時候一塊才不到200元後來覺得蠻快用完的容量有點小 ～補妝的時候輕輕按壓油光就會馬上消失，而且很持久，不會悶熱。加粉紅色包裝的這塊是第三塊1028的蜜粉ㄌ，真的很好用，外出攜帶也很方便。
停產？！ 粉質還行、控油力高但如果保濕沒有做好會起皮出油不會暗沉我覺得很不錯粉餅是三層設計，能分開粉撲和粉餅我覺得很不錯在底部有孔洞，讓粉撲能夠通風,停產？！ 粉質還行、控油力高但如果保濕沒有做好會起皮出油不會暗沉我覺得很不錯粉餅是三層設計，能分開粉撲和粉餅我覺得很不錯在底部有孔洞，讓粉撲能夠通風
今天純粹在賣場逛逛看$99元便宜順便入手(XD)小顆出國攜帶方便而且這是入手1028的第二顆了油膩膩的夏天不可少的控油產品個人喜歡霧感妝容通常都會在完妝後撲在最表層當定妝用瀏海也能一起撲，整天都飄逸呢~姊追求的就是方便好用夏天，非它莫屬！！,第二顆了油膩膩的夏天不可少的控油產品個人喜歡霧感妝容通常都會在完妝後撲在最表層當定妝用瀏海也能一起撲
會買這款完成是意外，因外出沒帶到可以補妝的粉餅，剛好所在地的隔壁有86小舖，就進去逛逛，順便看看有無合適的蜜粉餅類，本來是選了ETUDE HOUSE的粉餅，但在結帳時被告知1028有新年優惠4樣組合188元，店員熱心訊問問要不要用看看組合內的蜜粉餅，所以4樣商品的組合才188元，這樣超值輕巧方便，而且1028本身也不是雷品，所以就買了這個組合，心想它們蜜粉餅主打控油功能，對我的偏乾皮來說，感覺可能會不太很友善。官網產品介紹：超控油，長效持妝，添加蒲公英精華，達舒緩效果，輕巧攜帶方便，控油、耐汗、不黏膩；清透、乾爽、超服貼，極細礦物粉體、補妝不厚重。整體使用感受是冬季不太適合乾肌用，會覺得嘴角有點脫皮現象，外出補妝很輕巧方便，除了寒流或換季時期，大致來說我皆可用，但粉撲和粉餅中間需保留透明分隔層，以便保持粉餅的乾淨度，以優惠組中這款限量包裝款4.6G容量的蜜粉餅，也算是買到賺到了，有俗又大碗的感覺，算是好用的商品，和UNT完美持妝柔霧光粉餅相比，這款粉質算蠻細緻，會推薦給只要不是大乾肌的水水們使用。,粉餅，效果，輕巧攜帶方便，控油、耐汗、不黏膩；清透、乾爽、超服貼，極細礦物粉體、補妝不厚重。，使用感受是冬季不太適合乾肌用，會覺得嘴角有點脫皮現象，外出補妝很輕巧方便，除了寒流或換季時期，大致來說我皆可用，但粉撲和粉餅中間需保留透明分隔層，以便保持粉餅的乾淨度，以優惠組中這款限量包裝款4.6G容量的蜜粉餅，也算是買到賺到了，有俗又大碗的感覺，算是好用的商品，和UNT完美持妝柔霧光粉餅相比，這款粉質算蠻細緻，會推薦給只要不是大乾肌的水水們使用。
